guid,tag
4822,positive
757,positive
2657,positive
1524,positive
4506,positive
4927,positive
4778,positive
129,positive
5109,positive
1790,positive
1608,positive
4676,positive
4526,positive
576,positive
3423,positive
1679,positive
2490,positive
1245,positive
2711,positive
3173,positive
1280,positive
1639,positive
1392,positive
3897,positive
1920,positive
524,positive
2112,positive
4229,positive
1759,positive
2623,positive
4493,positive
4553,positive
4962,positive
4837,positive
409,positive
4968,positive
3144,positive
3904,positive
474,positive
2509,positive
288,positive
252,positive
2814,positive
3801,positive
4604,positive
3109,positive
2870,positive
4277,positive
3799,positive
4026,positive
3249,positive
4391,positive
1998,positive
3486,positive
526,positive
2660,positive
4329,positive
2894,positive
1675,positive
4221,positive
1794,positive
1318,positive
1725,positive
4012,positive
2772,positive
1001,positive
4675,positive
1430,positive
1231,positive
183,positive
4447,positive
1222,positive
743,positive
431,positive
914,positive
4486,positive
1032,positive
4000,positive
1369,positive
2373,positive
2769,positive
1668,positive
3677,positive
4744,positive
893,positive
48,positive
115,positive
4318,positive
1489,positive
722,positive
4724,positive
4530,positive
872,positive
1130,positive
1146,positive
4782,positive
1760,positive
2053,positive
1767,positive
4236,positive
2553,positive
1223,positive
3342,positive
4340,positive
4256,positive
239,positive
14,positive
3250,positive
495,positive
2821,positive
5121,positive
3903,positive
3688,positive
1765,positive
2384,positive
3028,positive
4706,positive
3386,positive
5054,positive
3059,positive
3841,positive
3604,positive
4039,positive
2372,positive
1787,positive
3304,positive
2336,positive
343,positive
1721,positive
2797,positive
4730,positive
725,positive
1424,positive
630,positive
2036,positive
4969,positive
295,positive
4666,positive
4766,positive
1716,positive
1170,positive
3038,positive
1350,positive
963,positive
1833,positive
4249,positive
4481,positive
4997,positive
679,positive
3264,positive
4590,positive
1757,positive
94,positive
1313,positive
366,positive
4608,positive
2609,positive
4889,positive
2956,positive
4595,positive
4680,positive
1385,positive
17,positive
251,positive
2535,positive
540,positive
946,positive
4864,positive
2569,positive
2757,positive
4253,positive
5091,positive
4626,positive
3018,positive
2775,positive
3031,positive
4554,positive
4619,positive
1155,positive
979,positive
696,positive
3965,positive
4689,positive
2977,positive
1349,positive
3639,positive
3863,positive
3308,positive
793,positive
5120,positive
1214,positive
4358,positive
4454,positive
74,positive
2042,positive
287,positive
4069,positive
3877,positive
1101,positive
1473,positive
4510,positive
3457,positive
1421,positive
3019,positive
651,positive
86,positive
4192,positive
3684,positive
734,positive
352,positive
4786,positive
141,positive
4117,positive
3730,positive
411,positive
1185,positive
3498,positive
4044,positive
2795,positive
423,positive
1464,positive
756,positive
4239,positive
2590,positive
3994,positive
1475,positive
1542,positive
2491,positive
683,positive
4937,positive
1412,positive
54,positive
3614,positive
1143,positive
717,positive
3993,positive
363,positive
1200,positive
1376,positive
3481,positive
789,positive
1997,positive
2610,positive
244,positive
59,positive
1425,positive
4187,positive
4723,positive
492,positive
3036,positive
237,positive
3864,positive
3469,positive
3858,positive
5010,positive
4906,positive
4731,positive
4617,positive
3425,positive
1491,positive
1103,positive
1221,positive
595,positive
3319,positive
1586,positive
3957,positive
1388,positive
2,positive
2460,positive
1330,positive
3525,positive
3836,positive
4096,positive
3959,positive
3628,positive
1134,positive
3633,positive
509,positive
1848,positive
1187,positive
4936,positive
2438,positive
2431,positive
1468,positive
3069,positive
1828,positive
2383,positive
4821,positive
3724,positive
1842,positive
3911,positive
4959,positive
896,positive
988,positive
4931,positive
4134,positive
1860,positive
1357,positive
2446,positive
163,positive
925,positive
4648,positive
3294,positive
1501,positive
4217,positive
4412,positive
4244,positive
4567,positive
2576,positive
339,positive
4573,positive
1687,positive
4964,positive
2573,positive
2035,positive
23,positive
4610,positive
4235,positive
1644,positive
4965,positive
408,positive
3234,positive
806,positive
3188,positive
1023,positive
2773,positive
3761,positive
1742,positive
4726,positive
1864,positive
1569,positive
1723,positive
3363,positive
563,positive
1793,positive
851,positive
4509,positive
4691,positive
3991,positive
2781,positive
4174,positive
3930,positive
12,positive
611,positive
4228,positive
1484,positive
1523,positive
1370,positive
4176,positive
1423,positive
207,positive
4137,positive
2656,positive
500,positive
1521,positive
4942,positive
3455,positive
2086,positive
807,positive
1601,positive
3865,positive
2883,positive
1408,positive
1541,positive
2580,positive
4475,positive
1831,positive
2544,positive
4302,positive
168,positive
3467,positive
4758,positive
3715,positive
2504,positive
1458,positive
3622,positive
3535,positive
292,positive
4660,positive
2145,positive
822,positive
1802,positive
1939,positive
1591,positive
4628,positive
2092,positive
4668,positive
3235,positive
123,positive
1097,positive
4078,positive
4407,positive
1295,positive
187,positive
2768,positive
2845,positive
3973,positive
1821,positive
1465,positive
5012,positive
1483,positive
4605,positive
1186,positive
1075,positive
3936,positive
742,positive
2947,positive
2969,positive
1715,positive
811,positive
4575,positive
3154,positive
4164,positive
2497,positive
3100,positive
702,positive
5065,positive
2377,positive
654,positive
572,positive
1029,positive
1971,positive
652,positive
1743,positive
4411,positive
4432,positive
175,positive
1066,positive
2050,positive
1859,positive
4547,positive
3091,positive
4546,positive
182,positive
2760,positive
2589,positive
3530,positive
1506,positive
4667,positive
185,positive
2139,positive
5006,positive
4152,positive
107,positive
834,positive
3747,positive
2628,positive
2575,positive
4926,positive
605,positive
507,positive
166,positive
4615,positive
980,positive
2472,positive
1041,positive
410,positive
1907,positive
969,positive
3748,positive
2076,positive
3437,positive
1453,positive
1525,positive
